Title,Summary,Director,Writer,Main Genres,Motion Picture Rating,Release Year,Runtime (Minutes),Rating (Out of 10),Number of Ratings (in thousands),Budget (in millions),Gross in US & Canada (in millions),Gross worldwide (in millions),Opening Weekend in US & Canada,Gross Opening Weekend (in millions),box_office
Ben Is Back,A drug addicted teenage boy shows up unexpectedly at his family's home on Christmas Eve.,Peter Hedges,Peter Hedges,Drama,R,2018.0,103.0,6.7,24.0,13.0,3.703,10.134,12.09.2018,0.081,-9.297
Tooth Fairy,A bad deed on the part of a tough minor-league hockey player results in an unusual sentence: He must serve one week as a real-life tooth fairy.,Michael Lembeck,"Lowell Ganz,Joshua Sternin,Babaloo Mandel","Comedy,Family,Fantasy",PG,2010.0,101.0,5.0,49.0,48.0,60.022,112.463,01.24.2010,14.01,12.021999999999998
Hellbound: Hellraiser II,"Kirsty is brought to an institution after the horrible events of Hellraiser (1987), where the occult-obsessive head doctor resurrects Julia and unleashes the Cenobites and their demonic underworld.",Tony Randel,"Peter Atkins,Clive Barker","Horror,Thriller",R,1988.0,97.0,6.4,55.0,3.0,12.091,12.091,12.26.1988,3.186,9.091
Trespass,"As they're held for ransom, a husband and wife's predicament grows more dire amid the discovery of betrayal and deception.",Joel Schumacher,Karl Gajdusek,"Crime,Drama,Mystery",R,2011.0,91.0,5.3,45.0,35.0,0.024,10.118,10.16.2011,0.017,-34.976
The Painted Veil,"A British medical doctor fights a cholera epidemic in a small Chinese village, while being trapped at home in a loveless marriage to an unfaithful wife.",John Curran,"Ron Nyswaner,W. Somerset Maugham","Drama,Romance",PG-13,2006.0,125.0,7.4,95.0,19.4,8.06,26.911,12.24.2006,0.051,-11.339999999999998
Lean on Me,The dedicated but tyrannical Joe Clark is appointed the principal of a decaying inner-city school he is determined to improve by any and all means.,John G. Avildsen,Michael Schiffer,Drama,PG-13,1989.0,108.0,7.4,22.0,10.0,31.906,31.906,03.05.1989,5.033,21.906
Tesla,"A freewheeling take on visionary inventor Nikola Tesla, his interactions with Thomas Edison and J.P. Morgan's daughter Anne, and his breakthroughs in transmitting electrical power and light.",Michael Almereyda,Michael Almereyda,"Biography,Drama",PG-13,2020.0,102.0,5.1,10.0,5.0,0.093,0.459,08.23.2020,0.042,-4.907
The Entity,A woman is tormented and sexually molested by an invisible demon.,Sidney J. Furie,,"Drama,Horror",R,1982.0,125.0,6.7,18.0,9.0,13.278,13.278,02.06.1983,3.686,4.2780000000000005
Mimic,"Three years ago, entomologist Dr. Susan Tyler genetically created an insect to kill cockroaches carrying a virulent disease. Now, the insects are out to destroy their only predator, mankind.",Guillermo del Toro,"Guillermo del Toro,Matthew Robbins,Donald A. Wollheim","Horror,Sci-Fi",R,1997.0,105.0,6.0,55.0,30.0,25.48,25.481,08.24.1997,7.818,-4.52
Teenage Mutant Ninja Turtles III,"When their closest friend April O'Neil discovers an ancient scepter with magical powers, the turtles must cow-a-bunga their way back to 17th century Japan to rescue her from the evil clutches of Lord Norinaga.",Stuart Gillard,"Kevin Eastman,Stuart Gillard,Peter Laird","Action,Adventure,Comedy",PG,1993.0,96.0,4.8,36.0,21.0,42.274,42.274,03.21.1993,12.42,21.274
Under Suspicion,"A wealthy attorney in San Juan comes to the police station for ""10 minutes"" of follow-up questions to finding a 12-year-old girl's body in a park. Another young girl was also raped and murdered weeks earlier and the evidence points to him.",Stephen Hopkins,"Jean Herman,Claude Miller(1981 screenplay Garde à vue),John Wainwright,Claude Miller,Jean Herman(1981 screenplay Garde à vue)","Crime,Drama,Thriller",R,2000.0,110.0,6.4,27.0,25.0,0.261,1.308,09.24.2000,0.11,-24.739
Orange County,A guidance counselor mistakenly sends out the wrong transcripts to Stanford University under the name of an over-achieving high schooler.,Jake Kasdan,Mike White,"Comedy,Drama",PG-13,2002.0,82.0,6.2,52.0,18.0,41.076,43.325,01.13.2002,15.053,23.076
One True Thing,A career woman reassesses her parents' lives after she is forced to care for her cancer-stricken mother.,Carl Franklin,"Karen Croner,Anna Quindlen",Drama,R,1998.0,127.0,6.9,13.0,30.0,23.246,26.617,09.20.1998,6.606,-6.754000000000001
Head of State,"When a presidential candidate dies unexpectedly in the middle of the campaign, Washington, D.C. alderman Mays Gilliam is unexpectedly picked as his replacement.",Chris Rock,"Chris Rock,Ali LeRoi",Comedy,PG-13,2003.0,95.0,5.5,21.0,35.2,38.125,38.62,03.30.2003,13.503,2.924999999999997
Flyboys,"The adventures of the Lafayette Escadrille, young Americans who volunteered for the French military before the U.S. entered World War I, and became the country's first fighter pilots.",Tony Bill,"Phil Sears,Blake T. Evans,David S. Ward","Action,Drama,History",PG-13,2006.0,140.0,6.5,44.0,60.0,13.091,17.858,09.24.2006,6.004,-46.909
Bubba Ho-Tep,"When residents of their nursing home start dying of dubious causes, an aged Elvis and an African-American senior who claims to be President John F. Kennedy discover that the perpetrator is an Egyptian mummy with murderous intentions.",Don Coscarelli,"Joe R. Lansdale,Don Coscarelli","Comedy,Fantasy,Horror",R,2002.0,92.0,6.9,51.0,1.0,1.239,1.239,09.21.2003,0.036,0.2390000000000001
Nicholas Nickleby,"A young, compassionate man struggles to save his family and friends from the abusive exploitation of his cold-heartedly grasping uncle.",Douglas McGrath,"Charles Dickens,Douglas McGrath","Adventure,Drama,Romance",PG,2002.0,132.0,7.1,13.0,10.0,1.587,3.651,12.29.2002,0.043,-8.413
Wicker Park,"A young Chicago advertising executive believes a woman he sees in a café is his long-lost love. His belief leads to obsession, as he puts his life on hold in order to trail her.",Paul McGuigan,"Brandon Boyce,Gilles Mimouni","Drama,Mystery,Romance",PG-13,2004.0,114.0,6.9,58.0,30.0,13.001,21.742,09.05.2004,5.467,-16.999000000000002
Assassination Nation,"After a malicious data hack exposes the secrets of the perpetually American town of Salem, chaos descends and four girls must fight to survive, while coping with the hack themselves.",Sam Levinson,Sam Levinson,"Action,Comedy,Crime",R,2018.0,108.0,6.0,21.0,7.0,2.005,2.585,09.23.2018,1.05,-4.995
Pride and Glory,"A family's moral codes are tested when Ray Tierney investigates a case that reveals an incendiary police corruption scandal involving his own brother-in-law. For Ray, the truth is revelatory, a Pandora's Box that threatens to upend not only the Tierney legacy but the entire NYPD.",Gavin O'Connor,"Gavin O'Connor,Greg O'Connor,Joe Carnahan","Crime,Drama,Thriller",R,2008.0,130.0,6.6,63.0,30.0,15.741,31.201,10.26.2008,6.262,-14.259
Caché,A married couple is terrorized by a series of surveillance videotapes left on their front porch.,Michael Haneke,Michael Haneke,"Drama,Mystery,Thriller",R,2005.0,117.0,7.3,84.0,8.0,3.647,16.198,12.25.2005,0.057,-4.353
Running on Empty,The eldest son of a fugitive family comes of age and wants to live his own life.,Sidney Lumet,Naomi Foner,"Crime,Drama,Music",PG-13,1988.0,116.0,7.6,18.0,7.0,2.835,2.848,09.11.1988,0.215,-4.165
The Joy Luck Club,The life histories of four East Asian women and their daughters reflect and guide each other.,Wayne Wang,"Amy Tan,Ron Bass",Drama,R,1993.0,139.0,7.7,18.0,11.0,32.901,32.901,09.12.1993,0.159,21.901000000000003
Quiz Show,"A young lawyer, Richard Goodwin, investigates a potentially fixed game show. Charles Van Doren, a big time show winner, is under Goodwin's investigation.",Robert Redford,"Paul Attanasio,Richard N. Goodwin","Biography,Drama,History",PG-13,1994.0,133.0,7.5,72.0,31.0,24.823,24.823,09.18.1994,0.758,-6.177
A Very Long Engagement,"Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One.",Jean-Pierre Jeunet,"Sébastien Japrisot,Jean-Pierre Jeunet,Guillaume Laurant","Drama,Mystery,Romance",R,2004.0,133.0,7.6,75.0,56.6,6.524,69.424,11.28.2004,0.102,-50.076
One for the Money,"Unemployed and newly-divorced Stephanie Plum lands a job at her cousin's bail-bond business, where her first assignment puts her on the trail of a wanted local cop from her romantic past.",Julie Anne Robinson,"Stacy Sherman,Liz Brixius,Karen Ray","Action,Comedy,Crime",PG-13,2012.0,91.0,5.3,44.0,40.0,26.415,38.084,01.29.2012,11.516,-13.585
Elite Squad,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",José Padilha,"Bráulio Mantovani,José Padilha,Rodrigo Pimentel","Action,Crime,Drama",R,2007.0,115.0,8.0,108.0,4.0,0.009,14.759,09.21.2008,0.004,-3.991
Agent Cody Banks,A government agent trains Cody Banks in the ways of covert operations that require younger participants.,Harald Zwart,"Scott Alexander,Ashley Miller,Zack Stentz","Action,Adventure,Comedy",PG,2003.0,102.0,5.1,37.0,28.0,47.938,58.796,03.16.2003,14.064,19.938
Snake Eyes,A shady police detective finds himself in the middle of a murder conspiracy at an important boxing match in an Atlantic City casino.,Brian De Palma,"David Koepp,Brian De Palma","Crime,Mystery,Thriller",R,1998.0,98.0,6.1,86.0,73.0,55.591,103.891,08.09.1998,16.31,-17.409
Personal Shopper,A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.,Olivier Assayas,Olivier Assayas,"Mystery,Thriller",R,2016.0,105.0,6.1,42.0,6.0,1.305,2.84,03.12.2017,0.079,-4.695
Beastly,"A modern-day take on the ""Beauty and the Beast"" tale where a New York teen is transformed into a hideous monster in order to find true love.",Daniel Barnz,"Alex Flinn,Daniel Barnz","Drama,Fantasy,Romance",PG-13,2011.0,86.0,5.5,79.0,17.0,27.866,43.202,03.06.2011,9.851,10.866
The Ladykillers,"An eccentric, if not charming Southern professor and his crew pose as a classical ensemble in order to rob a casino, all under the nose of his unsuspecting but sharp old landlady.","Joel Coen,Ethan Coen","William Rose,Ethan Coen,Joel Coen","Comedy,Crime,Thriller",R,2004.0,104.0,6.2,108.0,35.0,39.799,76.665,03.28.2004,12.635,4.799
Stigmata,"When a young woman becomes afflicted by stigmata, a priest is sent to investigate her case, which may have severe ramifications for his faith and for the Catholic Church itself.",Rupert Wainwright,"Rick Ramage,Tom Lazarus","Horror,Mystery",R,1999.0,103.0,6.2,71.0,29.0,50.046,89.446,09.12.1999,18.31,21.046
American Ultra,A stoner - who is in fact a government agent - is marked as a liability and targeted for extermination. But he's too well-trained and too high for them to handle.,Nima Nourizadeh,Max Landis,"Action,Comedy",R,2015.0,96.0,6.1,95.0,28.0,14.441,27.262,08.23.2015,5.454,-13.559
Song of the Sea,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.",Tomm Moore,"Will Collins,Tomm Moore","Animation,Adventure,Drama",PG,2014.0,93.0,8.0,62.0,5.3,0.858,4.228,12.21.2014,0.022,-4.442
Thoroughbreds,"Two upper-class teenage girls in suburban Connecticut rekindle their unlikely friendship after years of growing apart. Together, they hatch a plan to solve both of their problems-no matter what the cost.",Cory Finley,Cory Finley,"Comedy,Crime,Drama",R,2017.0,92.0,6.6,46.0,6.0,3.073,3.187,03.11.2018,1.224,-2.927
Every Day,A shy teenager falls for a spirit who wakes up in the body of a different person every morning.,Michael Sucsy,"David Levithan,Jesse Andrews","Drama,Fantasy,Romance",PG-13,2018.0,97.0,6.4,23.0,4.9,6.102,10.422,02.25.2018,3.016,1.202
Because of Winn-Dixie,A mischievous dog befriends a lonely young girl in a new town and helps her make new friends.,Wayne Wang,"Kate DiCamillo,Joan Singleton","Comedy,Drama,Family",PG,2005.0,106.0,6.3,12.0,14.0,32.647,33.589,02.20.2005,10.208,18.647
Daylight,Disaster in a New York tunnel as explosions collapse both ends of it. One hero tries to help the people inside find their way to safety.,Rob Cohen,Leslie Bohem,"Action,Adventure,Drama",PG-13,1996.0,114.0,5.9,76.0,80.0,33.023,159.212,12.08.1996,10.016,-46.977
Revenge,"A retired US Navy pilot comes to Mexico, where he falls in love with the wife of a powerful businessman. The consequences will be cruel and unforeseen.",Tony Scott,"Jim Harrison,Jeffrey Alan Fiskin","Action,Crime,Drama",R,1990.0,124.0,6.2,20.0,22.0,15.646,15.646,02.19.1990,6.087,-6.353999999999999
Confessions of a Teenage Drama Queen,"A teenage girl is convinced that her home city revolves around her until her family packs up and moves to the suburbs, where she finds herself competing for attention.",Sara Sugarman,"Dyan Sheldon,Gail Parent","Comedy,Family,Music",PG,2004.0,89.0,4.7,31.0,15.0,29.331,33.252,02.22.2004,9.351,14.331
Love Affair,"Two people meet on a flight to Sydney. Although both are engaged to others, they fall in love during their evacuation after a forced landing, and agree to meet in New York City three months later if the attraction lasts.",Glenn Gordon Caron,"Delmer Daves(1939 screenplay),Leo McCarey(1939 story),Delmer Daves,Mildred Cram(1939 story),Leo McCarey,Mildred Cram","Comedy,Drama,Romance",PG-13,1994.0,108.0,6.0,5.0,60.0,18.273,18.273,10.23.1994,5.439,-41.727
Ghosts of Mars,"In 2176, a Martian police unit is sent to pick up a highly dangerous criminal at a remote mining post. Upon arrival, the cops find that the post has become a charnel house.",John Carpenter,"John Carpenter,Larry Sulkis","Action,Horror,Sci-Fi",R,2001.0,98.0,4.9,57.0,28.0,8.71,14.011,08.26.2001,3.804,-19.29
All Eyez on Me,"Tells the true and untold story of prolific rapper, actor, poet and activist Tupac Shakur.",Benny Boom,"Eddie Gonzalez,Jeremy Haft,Steven Bagatourian","Biography,Drama,Music",R,2017.0,139.0,5.9,24.0,40.0,44.922,55.669,06.18.2017,26.435,4.921999999999997
State of Grace,A New York cop is recruited to return to his hometown and infiltrate the mob ran by his best friend's brother.,Phil Joanou,Dennis McIntyre,"Action,Crime,Drama",R,1990.0,134.0,7.2,24.0,18.0,1.912,1.912,09.16.1990,0.18,-16.088
The Current War: Director's Cut,The dramatic story of the cutthroat race between electricity titans Thomas A. Edison and George Westinghouse to determine whose electrical system would power the modern world.,Alfonso Gomez-Rejon,Michael Mitnick,"Biography,Drama,History",PG-13,2017.0,108.0,6.5,30.0,30.0,5.98,12.217,10.27.2019,2.634,-24.02
Body Snatchers,A teenage girl and her father discover alien clones are replacing humans on a remote U.S. military base in Alabama.,Abel Ferrara,"Raymond Cistheri,Jack Finney,Larry Cohen","Horror,Sci-Fi",R,1993.0,87.0,6.0,21.0,13.0,0.429,0.429,01.17.1994,0.031,-12.571
Hell Fest,"A masked serial killer turns a horror-themed amusement park into his own personal playground, terrorizing a group of friends while the rest of the patrons believe that it is all part of the show.",Gregory Plotkin,"Blair Butler,Seth M. Sherwood,Akela Cooper","Horror,Thriller",R,2018.0,89.0,5.5,19.0,5.5,11.107,18.161,09.30.2018,5.131,5.606999999999999
Heist,"A career jewel thief finds himself at tense odds with his longtime partner, a crime boss who sends his nephew to keep watch.",David Mamet,David Mamet,"Action,Crime,Drama",R,2001.0,109.0,6.5,39.0,39.0,23.511,28.511,11.11.2001,7.824,-15.489
The Scarlet Letter,An affair between a young woman and a pastor has disastrous consequences.,Roland Joffé,"Douglas Day Stewart,Nathaniel Hawthorne","Drama,Romance",R,1995.0,135.0,5.3,16.0,46.0,10.382,10.382,10.15.1995,4.119,-35.618
The Relic,"A homicide detective and an anthropologist try to destroy a South American lizard-like god, who's on a people eating rampage in a Chicago museum.",Peter Hyams,"Douglas Preston,Amy Holden Jones,Lincoln Child","Horror,Mystery,Sci-Fi",R,1997.0,110.0,5.8,30.0,40.0,33.957,33.957,01.12.1997,9.064,-6.042999999999999
"Good Night, and Good Luck.",Broadcast journalist Edward R. Murrow looks to bring down Senator Joseph McCarthy.,George Clooney,"George Clooney,Grant Heslov","Biography,Drama,History",PG,2005.0,93.0,7.4,101.0,7.0,31.558,54.641,10.09.2005,0.421,24.558
My Best Friend's Girl,Tank faces the ultimate test of friendship when his best friend hires him to take his ex-girlfriend out on a lousy date in order to make her realize how great her former boyfriend is.,Howard Deutch,Jordan Cahan,"Comedy,Romance",R,2008.0,101.0,5.8,46.0,20.0,19.219,41.625,09.21.2008,8.265,-0.7809999999999988
Regarding Henry,"After being shot, a lawyer loses his memory and must relearn speech and mobility, but he has a loving family to support him.",Mike Nichols,J.J. Abrams,"Drama,Romance",PG-13,1991.0,108.0,6.7,34.0,25.0,43.002,43.002,07.14.1991,6.147,18.002000000000002
Random Hearts,"Police Sergeant Dutch Van Den Broek (Harrison Ford) and U.S. Representative Kay Chandler (Dame Kristin Scott Thomas) lose their spouses in a plane crash, and they soon discover that their spouses were having an affair with each other.",Sydney Pollack,"Darryl Ponicsan,Warren Adler,Kurt Luedtke","Drama,Mystery,Romance",R,1999.0,133.0,5.3,23.0,64.0,31.503,74.609,10.10.1999,13.013,-32.497
The Man Without a Past,"M arrives in Helsinki only to be viciously attacked by thugs and pronounced dead by medics. He revives but with no memory of his past or his identity. He rebuilds his life from scratch, but the past inevitably catches up with him.",Aki Kaurismäki,Aki Kaurismäki,"Comedy,Drama,Romance",PG-13,2002.0,97.0,7.6,25.0,8.0,0.922,9.564,04.06.2003,0.023,-7.078
Stalingrad,"The story follows a group of German soldiers, from their Italian R&R in the summer of 1942 to the frozen steppes of Soviet Russia and ending with the battle for Stalingrad.",Joseph Vilsmaier,"Christoph Fromm(uncredited),Christoph Fromm,Jürgen Büscher,Johannes Heide","Drama,War",R,1993.0,134.0,7.5,37.0,20.0,0.153,0.153,05.29.1995,0.011,-19.847
Unfriended: Dark Web,A teen comes into possession of a new laptop and soon discovers that the previous owner is not only watching him but will also do anything to get it back.,Stephen Susco,Stephen Susco,"Horror,Mystery,Thriller",R,2018.0,92.0,6.0,37.0,1.0,8.867,16.025,07.22.2018,3.653,7.867000000000001
Henry V,"In the midst of the Hundred Years War, the young King Henry V of England embarks on the conquest of France in 1415.",Kenneth Branagh,"William Shakespeare,Kenneth Branagh","Biography,Drama,History",PG-13,1989.0,137.0,7.5,31.0,9.0,10.161,10.161,11.12.1989,0.065,1.1609999999999996
How to Lose Friends & Alienate People,A British writer struggles to fit in at a high-profile magazine in New York City.,Robert B. Weide,"Peter Straughan,Toby Young","Biography,Comedy,Drama",R,2008.0,110.0,6.4,71.0,28.0,2.779,19.152,10.05.2008,1.43,-25.221
Joe,"An ex-con, who is the unlikeliest of role models, meets a 15-year-old boy and is faced with the choice of redemption or ruin.",David Gordon Green,"Gary Hawkins,Larry Brown","Crime,Drama,Thriller",R,2013.0,117.0,6.8,51.0,4.0,0.373,2.431,04.13.2014,0.106,-3.627
Life as a House,"When a man is diagnosed with terminal cancer, he takes custody of his misanthropic teenage son, for whom quality time means getting high, engaging in small-time prostitution, and avoiding his father.",Irwin Winkler,Mark Andrus,Drama,R,2001.0,125.0,7.5,45.0,27.0,15.667,23.904,10.28.2001,0.294,-11.333
Tell No One,"An accidental discovery near a doctor's estate stirs up some painful memories eight years after his wife's hideous murder, and now, things are bound to take a turn for the unexpected. Does the good doctor know more than he's letting on?",Guillaume Canet,"Philippe Lefebvre,Guillaume Canet,Harlan Coben","Crime,Drama,Mystery",R,2006.0,131.0,7.5,57.0,11.7,6.177,33.429,07.06.2008,0.17,-5.523
Byzantium,"Residents of a coastal town learn, with deathly consequences, the secret shared by the two mysterious women who have sought shelter at a rundown hotel.",Neil Jordan,,"Drama,Fantasy,Horror",R,2012.0,118.0,6.5,45.0,8.0,0.089,0.828,06.30.2013,0.017,-7.911
Sorority Row,"A group of sorority sisters try to cover up the death of their house-sister after a prank gone wrong, only to be stalked by a serial killer.",Stewart Hendler,"Mark Rosman,Josh Stolberg,Pete Goldfinger","Horror,Mystery",R,2009.0,101.0,5.1,32.0,12.5,11.965,27.206,09.13.2009,5.06,-0.5350000000000001
She's Out of Control,"When an average-looking teenage girl gets a makeover, it's enough to make her father become overprotective of her.",Stan Dragoti,"Michael J. Nathanson,Seth Winston",Comedy,PG,1989.0,90.0,5.4,4.8,12.0,12.066,12.066,04.16.1989,3.653,0.0660000000000007
Lions for Lambs,"Injuries sustained by two Army rangers behind enemy lines in Afghanistan set off a sequence of events involving a congressman, a journalist and a professor.",Robert Redford,Matthew Michael Carnahan,"Crime,Drama,Mystery",R,2007.0,92.0,6.2,52.0,35.0,15.003,64.812,11.11.2007,6.702,-19.997
Respect,"Following the rise of Aretha Franklin's career from a child singing in her father's church's choir to her international superstardom, RESPECT is the remarkable true story of the music icon's journey to find her voice.",Liesl Tommy,"Callie Khouri,Tracey Scott Wilson","Biography,Drama,Music",PG-13,2021.0,145.0,6.6,17.0,55.0,24.278,32.883,08.15.2021,8.808,-30.722
The World According to Garp,"A struggling young writer finds his life and work dominated by his unfaithful wife and his radical feminist mother, whose best-selling manifesto turns her into a cultural icon.",George Roy Hill,"Steve Tesich,John Irving","Comedy,Drama",R,1982.0,136.0,7.1,29.0,17.0,29.712,29.712,07.25.1982,2.902,12.712
The Women,"A wealthy New Yorker wrestles with the decision to leave her cheating husband, as she and her friends discover that women really can have it all.",Diane English,"Clare Boothe Luce,Anita Loos(1939 screenplay),Diane English,Anita Loos","Comedy,Drama",PG-13,2008.0,114.0,5.0,23.0,16.0,26.902,50.008,09.14.2008,10.115,10.902
Passenger 57,An airline security expert must take action when he finds himself trapped on a passenger jet when terrorists seize control of it.,Kevin Hooks,"Stewart Raffill,David Loughery,Dan Gordon","Action,Crime,Thriller",R,1992.0,84.0,5.9,50.0,15.0,44.066,44.066,11.08.1992,10.514,29.066000000000003
The Devil's Backbone,"After Carlos - a 12-year-old whose father has died in the Spanish Civil War - arrives at an ominous boys' orphanage, he discovers the school is haunted and has many dark secrets which he must uncover.",Guillermo del Toro,"Antonio Trashorras,David Muñoz,Guillermo del Toro","Drama,Horror,Thriller",R,2001.0,106.0,7.4,70.0,4.5,0.755,6.582,11.25.2001,0.035,-3.745
Poltergeist II: The Other Side,"The Freeling family have a new house, but their troubles with supernatural forces don't seem to be over.",Brian Gibson,"Michael Grais,Mark Victor",Horror,PG-13,1986.0,91.0,5.6,29.0,19.0,40.997,40.997,05.26.1986,12.357,21.997
Clue,"Six guests are anonymously invited to a strange mansion for dinner, but after their host is killed, they must cooperate with the staff to identify the murderer as the bodies pile up.",Jonathan Lynn,"John Landis,Anthony E. Pratt,Jonathan Lynn,Anthony E. Pratt(uncredited)","Comedy,Crime,Mystery",PG,1985.0,94.0,7.2,106.0,15.0,14.644,14.644,12.15.1985,2.014,-0.3559999999999998
Love & Other Drugs,"In 1990s Pittsburgh, a medicine peddler starts a relationship with a young woman suffering from Parkinson's disease.",Edward Zwick,"Edward Zwick,Charles Randolph,Marshall Herskovitz","Comedy,Drama,Romance",R,2010.0,112.0,6.7,218.0,30.0,32.367,102.82,11.28.2010,9.739,2.3669999999999973
The Little Rascals,"Alfalfa is wooing Darla and his ""He-Man-Woman-Hating"" friends attempt to sabotage the relationship.",Penelope Spheeris,"Robert Wolterstorff,Penelope Spheeris,Mike Scott","Comedy,Family,Romance",PG,1994.0,82.0,6.3,55.0,23.0,52.125,67.308,08.07.1994,10.028,29.125
That's My Boy,"While in his teens, Donny fathered a son, Todd, and raised him as a single parent until Todd's 18th birthday. Now Donny resurfaces just before Todd's wedding after years apart, sending the groom-to-be's world crashing down.",Sean Anders,David Caspe,Comedy,R,2012.0,116.0,5.5,107.0,70.0,36.931,57.719,06.17.2012,13.454,-33.069
Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",Amy Heckerling,Amy Heckerling,"Comedy,Romance",PG-13,1995.0,97.0,6.9,238.0,12.0,56.632,56.632,07.23.1995,10.612,44.632
Nobody,"A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss.",Ilya Naishuller,Derek Kolstad,"Action,Crime,Drama",R,2021.0,92.0,7.4,310.0,16.0,27.568,57.511,03.28.2021,6.82,11.568
Baywatch,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",Seth Gordon,"Douglas Schwartz,Gregory J. Bonann,Michael Berk","Action,Comedy,Crime",R,2017.0,116.0,5.5,198.0,69.0,58.06,177.857,05.28.2017,18.504,-10.939999999999998
Sunshine,A team of international astronauts is sent on a dangerous mission to reignite the dying Sun with a nuclear fission bomb in 2057.,Danny Boyle,Alex Garland,"Sci-Fi,Thriller",R,2007.0,107.0,7.2,263.0,26.0,3.676,34.807,07.22.2007,0.243,-22.324
Knock Knock,"A devoted husband and father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.",Eli Roth,"Eli Roth,Guillermo Amoedo,Nicolás López","Crime,Thriller",R,2015.0,99.0,4.9,102.0,2.5,0.036,5.567,10.11.2015,0.019,-2.464
The Counselor,A lawyer finds himself in over his head when he gets involved in drug trafficking.,Ridley Scott,Cormac McCarthy,"Action,Adventure,Crime",R,2013.0,117.0,5.4,105.0,25.0,16.974,71.009,10.27.2013,7.843,-8.026
First Blood,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,Ted Kotcheff,"Michael Kozoll,William Sackheim,David Morrell","Action,Adventure,Thriller",R,1982.0,93.0,7.7,270.0,15.0,47.213,125.213,10.24.1982,6.642,32.213
Nell,"In a remote woodland cabin, a small-town doctor discovers Nell - a beautiful young hermit-woman with many secrets.",Michael Apted,"William Nicholson,Mark Handley",Drama,PG-13,1994.0,112.0,6.5,30.0,24.5,33.684,106.684,12.18.1994,0.063,9.183999999999996
Contraband,"To protect his brother-in-law from a drug lord, a former smuggler heads to Panama to score millions of dollars in counterfeit bills.",Baltasar Kormákur,"Aaron Guzikowski,Arnaldur Indriðason,Óskar Jónasson","Action,Adventure,Crime",R,2012.0,109.0,6.4,126.0,25.0,66.528,96.262,01.15.2012,24.35,41.528000000000006
Hide and Seek,"As a widower tries to piece together his life in the wake of his wife's suicide, his daughter finds solace, at first, in her imaginary friend.",John Polson,Ari Schlossberg,"Horror,Mystery",R,2005.0,101.0,5.9,88.0,30.0,51.1,127.37,01.30.2005,21.959,21.1
El Mariachi,A traveling mariachi is mistaken for a murderous criminal and must hide from a gang bent on killing him.,Robert Rodriguez,Robert Rodriguez,"Action,Crime,Thriller",R,1992.0,81.0,6.8,70.0,0.007,2.041,2.041,02.28.1993,0.313,2.034
Race,"Jesse Owens' quest to become the greatest track and field athlete in history thrusts him onto the world stage of the 1936 Olympics, where he faces off against Adolf Hitler's vision of Aryan supremacy.",Stephen Hopkins,"Anna Waterhouse,Joe Shrapnel","Biography,Drama,Sport",PG-13,2016.0,134.0,7.1,40.0,35.0,19.206,25.07,02.21.2016,7.354,-15.794
All Is Lost,"After a collision with a shipping container at sea, a resourceful sailor finds himself, despite all efforts to the contrary, staring his mortality in the face.",J.C. Chandor,J.C. Chandor,"Action,Adventure,Drama",PG-13,2013.0,106.0,6.9,83.0,9.0,6.264,13.628,10.20.2013,0.094,-2.736
Somewhere,"After withdrawing to the Chateau Marmont, a passionless Hollywood actor reexamines his life when his eleven-year-old daughter surprises him with a visit.",Sofia Coppola,Sofia Coppola,"Comedy,Drama,Romance",R,2010.0,97.0,6.3,46.0,7.0,1.786,14.789,12.26.2010,0.119,-5.214
Possession,A pair of literary sleuths unearth the amorous secret of two Victorian poets only to find themselves falling under a passionate spell.,Neil LaBute,"David Henry Hwang,Laura Jones,A.S. Byatt","Drama,Mystery,Romance",PG-13,2002.0,102.0,6.3,14.0,25.0,10.114,14.816,08.18.2002,1.575,-14.886
Elizabethtown,"During a hometown memorial for his Kentucky-born father, a young man begins an unexpected romance with a too-good-to-be-true stewardess.",Cameron Crowe,Cameron Crowe,"Comedy,Drama,Romance",PG-13,2005.0,123.0,6.3,72.0,45.0,26.85,52.164,10.16.2005,10.619,-18.15
Night of the Living Dead,"When the unburied dead return to life and seek human victims, seven refugees shelter in a house in the Pennsylvanian countryside.",Tom Savini,"John A. Russo,George A. Romero",Horror,R,1990.0,92.0,6.8,45.0,4.2,5.835,5.835,10.21.1990,2.885,1.6349999999999998
