Title,Summary,Director,Writer,Main Genres,Motion Picture Rating,Release Year,Runtime (Minutes),Rating (Out of 10),Number of Ratings (in thousands),Budget (in millions),Gross in US & Canada (in millions),Gross worldwide (in millions),Opening Weekend in US & Canada,Gross Opening Weekend (in millions),box_office
Underworld,"Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons.",Len Wiseman,"Kevin Grevioux,Danny McBride,Len Wiseman","Action,Fantasy,Thriller",R,2003.0,121.0,7.0,281.0,22.0,51.971,95.708,09.21.2003,21.754,29.971
Wall Street,"An impatient young stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless, greedy corporate raider who takes the youth under his wing.",Oliver Stone,"Oliver Stone,Stanley Weiser","Crime,Drama",R,1987.0,126.0,7.3,163.0,15.0,43.848,43.848,12.13.1987,4.105,28.848
Black Mass,"The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf.",Scott Cooper,"Dick Lehr,Jez Butterworth,Mark Mallouk","Biography,Crime,Drama",R,2015.0,123.0,6.9,190.0,53.0,62.576,99.976,09.20.2015,22.635,9.576
Body of Lies,A CIA agent on the ground in Jordan hunts down a powerful terrorist leader while being caught between the unclear intentions of his American supervisors and Jordan Intelligence.,Ridley Scott,"David Ignatius,William Monahan","Action,Drama,Thriller",R,2008.0,128.0,7.0,237.0,70.0,39.395,115.901,10.12.2008,12.884,-30.605
Mr. Nobody,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",Jaco Van Dormael,Jaco Van Dormael,"Drama,Fantasy,Romance",R,2009.0,141.0,7.7,243.0,47.0,0.004,3.559,11.03.2013,0.002,-46.996
Waiting...,Young employees at ShenaniganZ restaurant collectively stave off boredom and adulthood with their antics.,Rob McKittrick,Rob McKittrick,Comedy,R,2005.0,94.0,6.7,104.0,3.0,16.125,18.638,10.09.2005,6.021,13.125
My Neighbor Totoro,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Hayao Miyazaki,,"Animation,Comedy,Family",G,1988.0,86.0,8.1,366.0,3.7,2.25,30.692,09.30.2018,0.539,-1.4500000000000002
Masters of the Universe,The heroic warrior He-Man battles against the evil lord Skeletor and his armies of darkness for control of Castle Grayskull.,Gary Goddard,"Stephen Tolkin(uncredited),Stephen Tolkin,Gary Goddard(uncredited),David Odell,Gary Goddard","Action,Adventure,Fantasy",PG,1987.0,106.0,5.3,43.0,22.0,17.336,17.337,08.09.1987,4.883,-4.6640000000000015
The Reader,"Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.",Stephen Daldry,"David Hare,Bernhard Schlink","Drama,Mystery,Romance",R,2008.0,124.0,7.6,255.0,32.0,34.194,108.902,12.14.2008,0.168,2.1940000000000026
Cinema Paradiso,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Giuseppe Tornatore,"Vanna Paoli,Giuseppe Tornatore","Drama,Romance",PG,1988.0,155.0,8.5,277.0,5.0,12.397,13.019,02.04.1990,0.017,7.397
Reminiscence,"Nick Bannister, a private investigator of the mind, navigates the alluring world of the past when his life is changed by new client Mae. A simple case becomes an obsession after she disappears and he fights to learn the truth about her.",Lisa Joy,Lisa Joy,"Mystery,Romance,Sci-Fi",PG-13,2021.0,116.0,5.9,63.0,54.0,3.9,16.4,08.22.2021,1.951,-50.1
Forgetting Sarah Marshall,"Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend.",Nicholas Stoller,Jason Segel,"Comedy,Drama,Romance",R,2008.0,111.0,7.1,298.0,30.0,63.172,105.833,04.20.2008,17.725,33.172
Mandy,"The enchanted lives of a couple in a secluded forest are brutally shattered by a nightmarish hippie cult and their demon-biker henchmen, propelling a man into a spiraling, surreal rampage of vengeance.",Panos Cosmatos,"Casper Kelly(Cheddar Goblin),Panos Cosmatos,Casper Kelly,Aaron Stewart-Ahn","Action,Fantasy,Horror",R,2018.0,121.0,6.5,87.0,6.0,1.234,1.654,09.16.2018,0.226,-4.766
Friday,"It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday.",F. Gary Gray,"Ice Cube,DJ Pooh","Comedy,Drama",R,1995.0,91.0,7.2,122.0,3.5,27.468,28.216,04.30.1995,6.589,23.968
Darkest Hour,"In May 1940, the fate of World War II hangs on Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean the end of the British Empire.",Joe Wright,Anthony McCarten,"Biography,Drama,War",PG-13,2017.0,125.0,7.4,216.0,30.0,56.468,150.847,11.26.2017,0.175,26.468000000000004
Billy Madison,"In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1-12 all over again.",Tamra Davis,"Adam Sandler,Tim Herlihy",Comedy,PG-13,1995.0,89.0,6.3,154.0,10.0,25.589,26.489,02.12.1995,6.639,15.589
Zoolander,"At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia.",Ben Stiller,"Ben Stiller,John Hamburg,Drake Sather",Comedy,PG-13,2001.0,90.0,6.5,287.0,28.0,45.172,60.781,09.30.2001,15.525,17.171999999999997
They Live,They influence our decisions without us knowing it. They numb our senses without us feeling it. They control our lives without us realizing it. They live.,John Carpenter,"John Carpenter,Ray Nelson","Action,Horror,Sci-Fi",R,1988.0,94.0,7.2,142.0,4.0,13.009,13.009,11.06.1988,4.828,9.009
Hitman's Wife's Bodyguard,"The bodyguard, Michael Bryce, continues his friendship with assassin, Darius Kincaid, as they try to save Darius' wife Sonia.",Patrick Hughes,"Phillip Murphy,Tom O'Connor,Brandon Murphy","Action,Comedy,Crime",R,2021.0,100.0,6.1,104.0,70.0,38.015,70.094,06.20.2021,11.398,-31.985
Heathers,"At Westerburg High where cliques rule, jocks dominate and all the popular girls are named Heather, it's going to take a Veronica and mysterious new kid to give teen angst a body count.",Michael Lehmann,Daniel Waters,"Comedy,Crime",R,1988.0,103.0,7.2,113.0,3.0,1.108,1.164,04.02.1989,0.177,-1.892
